mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,spectral_rolloff,zero_crossing_rate,tempo,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mel_0,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,label,filename
-318.4710998535156,49.22168731689453,-18.876359939575195,17.573848724365234,-1.8153083324432373,-5.518475532531738,-12.682719230651855,-20.282289505004883,-9.181050300598145,-7.23313570022583,-15.629538536071777,-6.921034812927246,-13.833776473999023,1945.4999690570867,3444.0465856481483,0.15740966796875,104.16666666666667,0.31879955530166626,0.3734998404979706,0.4210781157016754,0.39506110548973083,0.35853487253189087,0.3318101465702057,0.25779983401298523,0.24850085377693176,0.3043117821216583,0.3310758173465729,0.33491960167884827,0.33154505491256714,-71.53426361083984,-67.01384735107422,-62.003753662109375,-56.71174240112305,-49.27218246459961,-44.25968551635742,-44.18096160888672,-46.89118957519531,-47.236080169677734,-45.40620422363281,1,phishing_14_original.wav
-332.2052001953125,50.48248291015625,-19.71953582763672,15.619061470031738,-2.056816339492798,-5.37686014175415,-16.72565269470215,-21.136682510375977,-10.181940078735352,-7.432074069976807,-15.316927909851074,-8.093825340270996,-13.74992847442627,1995.1106607015931,3598.9583333333335,0.179412841796875,133.92857142857142,0.31593525409698486,0.3242438733577728,0.4101404845714569,0.4259660840034485,0.39956891536712646,0.38366618752479553,0.29721981287002563,0.2620273232460022,0.30409103631973267,0.3494180142879486,0.34728628396987915,0.3314627408981323,-72.34220886230469,-67.67298126220703,-61.92321014404297,-56.69854736328125,-49.03003692626953,-43.85697937011719,-43.18537902832031,-45.58976745605469,-46.18033218383789,-44.12288284301758,1,phishing_14_time_stretch_slow.wav
-338.248046875,65.50485229492188,-30.020484924316406,22.291248321533203,-6.838271141052246,8.066350936889648,-17.121957778930664,-9.874183654785156,-24.0447998046875,3.406754732131958,-19.921218872070312,-0.7534129023551941,-19.609851837158203,1875.6188510963566,3355.5049189814813,0.17170093677662038,125.0,0.4669806957244873,0.4235023558139801,0.3974609971046448,0.3647165596485138,0.30392852425575256,0.2928561568260193,0.3510916531085968,0.3686397075653076,0.34974387288093567,0.3597317337989807,0.3490034341812134,0.40291574597358704,-71.33036804199219,-65.53115844726562,-59.47993469238281,-52.52420425415039,-45.40373611450195,-42.88201141357422,-45.14112091064453,-45.92264175415039,-43.81914520263672,-41.75605773925781,1,phishing_14_pitch_down.wav
-326.1333923339844,44.95158767700195,-19.104976654052734,16.426639556884766,-8.140557289123535,-10.571779251098633,-23.641342163085938,-17.909425735473633,-7.042105197906494,-14.13652515411377,-12.94635009765625,-9.185769081115723,-7.308046340942383,2110.726661853853,3777.0182291666665,0.19497115523726852,110.29411764705883,0.3271816372871399,0.34515225887298584,0.3318061828613281,0.38563141226768494,0.4537663757801056,0.4345976412296295,0.3867035508155823,0.3634302318096161,0.29514679312705994,0.27774515748023987,0.32401326298713684,0.3398270905017853,-73.19587707519531,-70.04401397705078,-65.14868927001953,-60.53070831298828,-54.86642074584961,-48.01565170288086,-44.21757507324219,-45.04166793823242,-47.19673538208008,-47.56205749511719,1,phishing_14_pitch_up.wav
-332.40771484375,50.96614456176758,-19.798484802246094,15.620962142944336,-2.122429370880127,-4.943589687347412,-16.298940658569336,-20.348487854003906,-9.771038055419922,-7.348013877868652,-15.288429260253906,-8.128951072692871,-14.252708435058594,2071.144090100512,3721.938775510204,0.18905701929209184,133.92857142857142,0.34991392493247986,0.3889995515346527,0.4757680296897888,0.46707695722579956,0.4197264015674591,0.4008643627166748,0.33325299620628357,0.2893941402435303,0.32450345158576965,0.3588316738605499,0.3508680760860443,0.340727835893631,-70.46219635009766,-66.1529541015625,-60.783321380615234,-55.40168762207031,-47.9648551940918,-42.84346008300781,-41.78166961669922,-44.05815124511719,-45.044036865234375,-43.288394927978516,1,phishing_14_time_stretch_fast.wav
-339.26544189453125,50.230342864990234,-15.48709487915039,12.90617847442627,-4.495089530944824,-10.275984764099121,-20.172588348388672,-25.230201721191406,-12.060487747192383,-14.15246295928955,-13.52462387084961,-9.736258506774902,-8.479939460754395,1884.5212715020782,3632.8804347826085,0.15746858016304346,93.75,0.37441977858543396,0.2719247043132782,0.26651597023010254,0.31302610039711,0.4027245044708252,0.4020954370498657,0.35035374760627747,0.35746532678604126,0.27778902649879456,0.24362298846244812,0.27409225702285767,0.37806662917137146,-71.25023651123047,-68.65709686279297,-64.15670776367188,-59.35070037841797,-51.74785614013672,-44.730281829833984,-40.18434143066406,-39.86121368408203,-42.2284049987793,-43.02987289428711,0,legitimate_33_pitch_up.wav
-349.41082763671875,71.64065551757812,-23.459747314453125,20.260358810424805,-6.526943683624268,9.763519287109375,-15.236526489257812,-4.6142659187316895,-30.660051345825195,1.510507345199585,-23.510950088500977,-1.6282051801681519,-21.322233200073242,1669.1693085374,3216.711956521739,0.13939368206521738,104.16666666666667,0.4038350582122803,0.41682034730911255,0.39597904682159424,0.3719387352466583,0.2921620309352875,0.2621549963951111,0.29638102650642395,0.4135392904281616,0.3642895221710205,0.2973807156085968,0.31505322456359863,0.34604671597480774,-69.95442199707031,-64.77726745605469,-58.28219985961914,-49.52663040161133,-40.881839752197266,-37.660682678222656,-39.632572174072266,-41.19169616699219,-40.157676696777344,-38.65519714355469,0,legitimate_33_pitch_down.wav
-336.66131591796875,55.313385009765625,-13.234014511108398,11.662310600280762,0.6886576414108276,-5.300837516784668,-11.753518104553223,-21.882291793823242,-16.391693115234375,-8.142475128173828,-16.24503517150879,-9.697729110717773,-13.594531059265137,1854.574835899545,3590.029761904762,0.1476748511904762,110.29411764705883,0.2987448275089264,0.3422471582889557,0.4488719403743744,0.4670144319534302,0.4066074788570404,0.3761361241340637,0.31851518154144287,0.27621400356292725,0.2870903015136719,0.3946301341056824,0.3656458854675293,0.29720088839530945,-71.49124145507812,-66.66488647460938,-62.033241271972656,-54.87360382080078,-46.57631301879883,-41.097721099853516,-39.466224670410156,-41.56139373779297,-42.159568786621094,-41.7935676574707,0,legitimate_33_time_stretch_fast.wav
-328.52325439453125,54.67491149902344,-14.22236442565918,10.861639976501465,0.6963337063789368,-5.560655117034912,-9.198768615722656,-22.219463348388672,-14.773045539855957,-7.703324794769287,-17.47210693359375,-7.505621433258057,-13.402989387512207,1825.148384687347,3328.4646739130435,0.15701426630434784,144.23076923076923,0.26194554567337036,0.3010767996311188,0.3747173249721527,0.4041047990322113,0.35859882831573486,0.35368233919143677,0.3132728934288025,0.262390673160553,0.27991020679473877,0.3541574776172638,0.41971009969711304,0.3099183142185211,-70.2806396484375,-66.611572265625,-61.82023239135742,-55.24384689331055,-47.400978088378906,-40.96220397949219,-40.10775375366211,-43.08833312988281,-43.98019027709961,-43.05045700073242,0,legitimate_33_original.wav
-344.1107482910156,54.84846115112305,-14.758810043334961,11.28315544128418,1.4066860675811768,-5.64111328125,-11.806068420410156,-22.370223999023438,-16.159526824951172,-9.409283638000488,-17.544527053833008,-8.908027648925781,-14.043317794799805,1823.7491376486953,3487.548828125,0.14907073974609375,133.92857142857142,0.2963177561759949,0.36325886845588684,0.4278840124607086,0.3796943426132202,0.3727254271507263,0.33556151390075684,0.26938432455062866,0.2575511336326599,0.3149542510509491,0.436809778213501,0.36910706758499146,0.27188199758529663,-70.51695251464844,-66.72825622558594,-61.55651092529297,-54.81541061401367,-45.732330322265625,-39.9367561340332,-38.899845123291016,-40.76105499267578,-42.2415885925293,-41.17744445800781,0,legitimate_33_time_stretch_slow.wav
